RPM,BPF_Hz,SPL_dB,Data_Type
2000,66.67,20.44,Extrapolated
2500,83.33,24.57,Extrapolated
3000,100.0,28.56,Measured
3500,116.67,32.43,Extrapolated
4000,133.33,36.2,Extrapolated
4500,150.0,39.89,Measured
5000,166.67,43.51,Extrapolated
5500,183.33,47.07,Extrapolated
6000,200.0,50.57,Extrapolated
6500,216.67,54.02,Extrapolated
7000,233.33,57.42,Extrapolated
7500,250.0,60.78,Extrapolated
8000,266.67,64.11,Extrapolated
8500,283.33,67.39,Extrapolated
9000,300.0,70.64,Extrapolated
9500,316.67,73.86,Extrapolated
10000,333.33,77.05,Extrapolated
